Rank,Company,Country/Territory,Sales,Profits,Assets,Market Value,Industry,Founded,Chief Executive Officer,Employees
1669,Mizrahi Tefahot Bank,Israel,2200000000.0,335000000.0,69000000000.0,5000000000.0,Regional Banks,1923,,6285.0
1670,Wärtsilä,Finland,6100000000.0,455000000.0,6900000000.0,10300000000.0,Heavy Equipment,1897,,19294.0
1671,Foot Locker,United States,7900000000.0,541000000.0,3800000000.0,6900000000.0,Apparel/Footwear Retail,1879,,49331.0
1672,Alaska Air Group,United States,8300000000.000001,437000000.0,11500000000.0,7600000000.0,Airline,1985,Bradley D. Tilden,23376.0
1673,Square,United States,3300000000.0,-38000000.0,3300000000.0,29700000000.0,Software & Programming,2009,Jack Dorsey,3349.0
1674,Iyo Bank,Japan,1100000000.0,177000000.0,66900000000.00001,1700000000.0,Regional Banks,1941,Iwao Otsuka,3122.0
1675,Nippon Steel Trading,Japan,22100000000.0,210000000.0,9000000000.0,1300000000.0,Diversified Metals & Mining,1977,Ichiro Miyasaka,7785.0
1676,China Longyuan Power,China,4000000000.0,607000000.0,21300000000.0,5500000000.0,Diversified Utilities,1993,,7610.0
1677,Eurobank Ergasias,Greece,2200000000.0,178000000.0,66300000000.0,1800000000.0,Regional Banks,,,8617.0
1678,Ralph Lauren,United States,6300000000.0,441000000.0,6100000000.0,10300000000.0,Apparel/Footwear Retail,1967,,23500.0
1679,Deutsche Pfandbriefbank,Germany,2200000000.0,211000000.0,66000000000.0,1900000000.0,Regional Banks,2003,Andreas Arndt,793.0
1680,Safaricom,Kenya,2400000000.0,593000000.0,2000000000.0,11000000000.0,Telecommunications services,1993,,6130.0
1681,New Hope Liuhe,China,10400000000.0,258000000.0,7000000000.0,8900000000.0,Food Processing,1998,Chunhua Chen,61918.0
1682,Unicaja Banco,Spain,2000000000.0,180000000.0,65700000000.0,1800000000.0,Major Banks,2011,,7200.0
1683,Rite Aid,United States,21600000000.0,-422000000.0,7600000000.0,525000000.0,Drug Retail,1962,John T. Standley,53100.0
1684,Far Eastern New Century,Taiwan,7600000000.0,399000000.0,18400000000.0,5500000000.0,Diversified Chemicals,1954,,
1685,Industrivarden,Sweden,624000000.0,607000000.0,11400000000.0,10100000000.0,Investment Services,1944,,17.0
1686,W.P. Carey,United States,902000000.0,392000000.0,14200000000.0,13000000000.0,,1973,,206.0
1687,Steel Authority of India,India,8900000000.0,-44000000.0,19100000000.0,3400000000.0,Iron & Steel,1954,,143056.0
1688,Everbright Securities,China,1500000000.0,28000000.0,30000000000.0,8400000000.0,Investment Services,1996,,9004.0
1689,Wayfair,United States,6800000000.0,-504000000.0,1900000000.0,13300000000.0,Internet & Catalog Retail,2002,Niraj S. Shan,12124.0
1690,Jiangsu Zhongnan Construction Group,China,6100000000.0,224000000.0,31800000000.0,4900000000.0,,1998,,16420.0
1691,Mercuries & Associates,Taiwan,5600000000.0,11000000.0,37800000000.0,443000000.0,Department Stores,,,17515.0
1692,Snap-on,United States,4099999999.9999995,695000000.0,5500000000.0,9300000000.0,Household/Personal Care,1920,,12600.0
1693,Liuzhou Iron & Steel,China,7100000000.0,697000000.0,3600000000.0,2900000000.0,Iron & Steel,2000,,9753.0
1694,Suzuken,Japan,19100000000.0,255000000.0,11100000000.0,5200000000.0,Pharmaceuticals,1946,,15816.0
1695,China Aviation Oil,Singapore,20600000000.0,94000000.0,1700000000.0,914000000.0,Trading Companies,1993,,105.0
1696,China National Chemical,China,12200000000.0,292000000.0,14100000000.0,5000000000.0,Construction Services,1953,,41339.0
1697,Nielsen,United States,6500000000.0,-712000000.0,15200000000.0,9300000000.0,Printing & Publishing,1923,David W. Kenny,46000.0
1698,Sterling Bancorp,United States,1300000000.0,447000000.0,31400000000.0,4300000000.0,Regional Banks,1888,,1907.0
1699,Pinduoduo,China,2000000000.0,-1600000000.0,6300000000.0,27400000000.0,Internet & Catalog Retail,,,1159.0
1700,DGB Financial Group,South Korea,3000000000.0,343000000.0,58300000000.0,1300000000.0,Regional Banks,2011,,
1701,Commercial Bank of Qatar,Qatar,2100000000.0,398000000.0,39500000000.0,5300000000.0,Regional Banks,1975,,
1702,Avnet,United States,20000000000.0,-141000000.0,9200000000.0,5100000000.0,Electronics,1921,Bill Joseph Amelio,15400.0
1703,Viva Energy Group,Australia,12200000000.0,433000000.0,3700000000.0,3300000000.0,,2018,,
1704,Kingboard Holdings,Hong Kong,5900000000.0,775000000.0,12100000000.0,3800000000.0,Specialized Chemicals,1988,,41900.0
1705,Moscow Exchange,Russia,643000000.0,314000000.0,58900000000.0,3200000000.0,Investment Services,2011,,1710.0
1706,Adani Ports & Special Economic Zone,India,1600000000.0,531000000.0,7000000000.0,11600000000.0,Other Transportation,1998,,1210.0
1707,Great Eagle Holdings,Hong Kong,1300000000.0,741000000.0,16399999999.999998,3400000000.0,Hotels & Motels,1989,,6666.0
1708,Cabot Oil & Gas,United States,2100000000.0,557000000.0,4400000000.0,11100000000.0,Oil & Gas Operations,1989,,303.0
1709,BayWa,Germany,19600000000.0,38000000.0,8600000000.0,1100000000.0,Specialty Stores,1923,,17864.0
1710,Juroku Bank,Japan,930000000.0,82000000.0,57400000000.0,772000000.0,Regional Banks,1876,Yukio Murase,2712.0
1711,Synovus Financial,United States,1600000000.0,428000000.0,32700000000.000004,5700000000.0,Regional Banks,1972,,4651.0
1712,Hyakugo Bank,Japan,767000000.0,85000000.0,57200000000.0,819000000.0,Regional Banks,1878,,2973.0
1713,Fluor,United States,19200000000.0,225000000.0,9100000000.0,5700000000.0,Construction Services,1912,Carlos Manuel Hernandez,53349.0
1714,Cybg,United Kingdom,1700000000.0,-234000000.0,56700000000.0,4099999999.9999995,Regional Banks,2015,,5762.0
1715,FinecoBank,Italy,1100000000.0,285000000.0,28300000000.0,8300000000.000001,Regional Banks,1999,,1115.0
1716,Commercial Bank For Investment & Development Of Vietnam,Vietnam,4500000000.0,322000000.0,56600000000.0,5100000000.0,Regional Banks,1957,,25416.0
1717,Empire,Canada,19000000000.0,258000000.0,7100000000.0,6000000000.0,Food Retail,1963,,62000.0
1718,Hakuhodo DY Holdings,Japan,13000000000.0,410000000.0,7400000000.0,5900000000.0,Advertising,2003,,18837.0
1719,Rexel,France,15800000000.0,178000000.0,11800000000.0,3900000000.0,Electronics,1967,,27000.0
1720,JG Summit Holdings,Philippines,5300000000.0,440000000.0,14700000000.0,8500000000.0,Conglomerates,1990,,23942.0
1721,Inner Mongolia Yitai Coal,China,5700000000.0,630000000.0,13800000000.0,3900000000.0,Diversified Metals & Mining,1997,,6280.0
1722,Hengan International Group,China,3100000000.0,576000000.0,6600000000.0,10500000000.0,Household/Personal Care,1985,,23000.0
1723,ResMed,United States,2500000000.0,450000000.0,3900000000.0,14200000000.0,Medical Equipment & Supplies,1989,,5940.0
1724,Wendel,France,9900000000.0,54000000.0,16200000000.0,6100000000.0,Investment Services,1704,,124118.0
1725,Fuyao Glass Industry Group,China,3000000000.0,622000000.0,5000000000.0,9800000000.0,Specialized Chemicals,1987,Shu Ye,27067.0
1726,Seiko Epson,Japan,9900000000.0,482000000.0,9400000000.0,5600000000.0,Business Products & Supplies,1942,Minoru Usui,
1727,Shiga Bank,Japan,829000000.0,122000000.0,54600000000.0,1200000000.0,Regional Banks,1933,,2354.0
1728,Banco de Chile,Chile,4000000000.0,235000000.0,51800000000.0,6300000000.0,Regional Banks,,,
1729,Banca Mediolanum,Italy,3900000000.0,302000000.0,54100000000.0,5500000000.0,Life & Health Insurance,1997,,2820.0
1730,Hanwa,Japan,18500000000.0,153000000.0,8700000000.0,1200000000.0,Diversified Metals & Mining,1947,,3576.0
1731,Atmos Energy,United States,3100000000.0,446000000.0,12600000000.0,11600000000.0,Natural Gas Utilities,1983,Michael E. Haefner,4628.0
1732,IDBI Bank,India,4600000000.0,-1300000000.0,53900000000.0,4800000000.0,Regional Banks,1964,,17475.0
1733,Arista Networks,United States,2200000000.0,328000000.0,3100000000.0,24500000000.0,Communications Equipment,2004,,2300.0
1734,Burelle,France,8600000000.0,532000000.0,7500000000.0,1900000000.0,Auto & Truck Parts,1957,,
1735,Martin Marietta Materials,United States,4200000000.0,469000000.0,9700000000.0,13200000000.0,Construction Materials,1993,C. Howard Nye,8714.0
1736,Metalurgica Gerdau,Brazil,12600000000.0,219000000.0,13200000000.0,1800000000.0,Iron & Steel,1901,,
1737,Atlassian,United Kingdom,1100000000.0,-426000000.0,2900000000.0,24400000000.0,Software & Programming,2013,,2638.0
1738,Shopify,Canada,1100000000.0,-65000000.0,2300000000.0,24400000000.0,Software & Programming,2004,Tobi Lütke,4000.0
1739,Performance Food Group,United States,18100000000.0,169000000.0,4200000000.0,4300000000.0,Food Retail,1987,,15000.0
1740,Toho Bank,Japan,644000000.0,45000000.0,52700000000.0,662000000.0,Regional Banks,1941,Seishi Kitamura,2203.0
1741,First Citizens Bank,United States,1600000000.0,400000000.0,35400000000.0,5000000000.0,Regional Banks,1898,Frank B. Holding,6683.0
1742,Taiwan Business Bank,Taiwan,1200000000.0,253000000.0,52700000000.0,2500000000.0,Regional Banks,1950,,5251.0
1743,WPG Holdings,Taiwan,18100000000.0,247000000.0,6400000000.0,2200000000.0,Electronics,2005,,
1744,Advanz Pharma,Canada,536000000.0,1500000000.0,1800000000.0,837000000.0,,2010,,
1745,Tokyu Fudosan,Japan,7600000000.0,271000000.0,21300000000.0,4000000000.0,Real Estate,2013,,21091.0
1746,First Pacific,Hong Kong,7700000000.0,132000000.0,20900000000.0,1700000000.0,Investment Services,1981,,102530.0
